# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 151K of event 'cycles'
# Event count (approx.): 553633736228
#
# Children      Self  Symbol                                          IPC   [IPC Coverage]
# ........  ........  ..............................................  ....................
#
     0.58%     0.00%  [.] 0x3a8e62fd078e7b1b                          -      -            
     0.56%     0.56%  [.] bn_mul_mont                                 -      -            
     0.56%     0.56%  [.] __ecp_nistz256_sub_fromx                    -      -            
     0.56%     0.00%  [.] 0xc9810c743d6bac50                          -      -            
     0.56%     0.00%  [.] 0x8e60f0988c95889d                          -      -            
     0.54%     0.00%  [.] 0x3d982e4253f6899f                          -      -            
     0.54%     0.54%  [.] BN_mod_word                                 -      -            
     0.53%     0.00%  [.] 0x886b423861285c97                          -      -            
     0.53%     0.00%  [.] 0x9e02fce1cdf7e2ec                          -      -            
     0.53%     0.00%  [.] 0x1df158a136ade735                          -      -            
     0.53%     0.00%  [.] ECDSA_verify_loop                           -      -            
     0.53%     0.53%  [.] __ecp_nistz256_mul_by_2x                    -      -            
     0.53%     0.00%  [.] ossl_ecdsa_verify                           -      -            
     0.48%     0.00%  [.] ossl_ecdsa_simple_verify_sig                -      -            
     0.46%     0.00%  [.] ossl_bn_miller_rabin_is_prime               -      -            
     0.44%     0.00%  [.] BN_MONT_CTX_set                             -      -            
     0.44%     0.00%  [.] EVP_RAND_generate                           -      -            
     0.43%     0.00%  [.] 0x0000000000000111                          -      -            
     0.43%     0.01%  [.] evp_rand_generate_locked                    -      -            
     0.43%     0.00%  [.] 0xd3acf0dedd5e9f44                          -      -            
     0.40%     0.40%  [.] ecp_nistz256_avx2_gather_w7                 -      -            
     0.39%     0.00%  [.] dsa_gen                                     -      -            
     0.39%     0.00%  [.] DSA_generate_key                            -      -            
     0.38%     0.00%  [.] BN_BLINDING_update                          -      -            
     0.38%     0.00%  [.] BN_BLINDING_convert_ex                      -      -            
     0.38%     0.00%  [.] BN_BLINDING_create_param                    -      -            
     0.38%     0.38%  [.] OPENSSL_cleanse                             -      -            
     0.37%     0.00%  [.] DSA_verify_loop                             -      -            
     0.36%     0.00%  [.] ECDH_EVP_derive_key_loop                    -      -            
     0.36%     0.00%  [.] ecdh_derive                                 -      -            
     0.36%     0.00%  [.] DH_compute_key                              -      -            
     0.36%     0.00%  [.] FFDH_derive_key_loop                        -      -            
     0.36%     0.00%  [.] dh_plain_derive                             -      -            
     0.36%     0.00%  [.] ECDH_compute_key                            -      -            
     0.35%     0.00%  [.] ossl_ecdh_simple_compute_key                -      -            
     0.35%     0.00%  [.] ossl_dh_compute_key                         -      -            
     0.35%     0.00%  [.] bnrand_range.constprop.0                    -      -            
     0.32%     0.32%  [.] ecp_nistz256_point_doublex                  -      -            
     0.31%     0.01%  [.] RAND_priv_bytes_ex                          -      -            
     0.30%     0.04%  [.] BN_CTX_free                                 -      -            
     0.30%     0.23%  [.] bn_mul_mont_fixed_top                       -      -            
     0.29%     0.01%  [.] ossl_bn_gen_dsa_nonce_fixed_top             -      -            
     0.29%     0.29%  [.] ecp_nistz256_ord_mul_montx                  -      -            
     0.29%     0.29%  [.] BN_num_bits_word                            -      -            
     0.28%     0.01%  [.] ossl_prov_drbg_generate                     -      -            
     0.28%     0.22%  [.] ecp_nistz256_points_mul                     -      -            
     0.27%     0.00%  [.] 0000000000000000                            -      -            
     0.26%     0.19%  [.] bn_from_montgomery_word                     -      -            
     0.25%     0.00%  [.] ossl_dsa_generate_public_key                -      -            
     0.24%     0.04%  [.] BN_clear_free                               -      -            
     0.24%     0.00%  [.] BN_nnmod                                    -      -            
     0.24%     0.00%  [.] EC_POINT_get_affine_coordinates             -      -            
     0.23%     0.02%  [.] drbg_ctr_generate                           -      -            
     0.23%     0.23%  [.] ecp_nistz256_point_addx                     -      -            
     0.22%     0.05%  [.] BN_mod_exp2_mont                            -      -            
     0.22%     0.04%  [.] ossl_rsa_padding_add_PKCS1_type_2_ex        -      -            
     0.21%     0.00%  [.] BN_are_coprime                              -      -            
     0.20%     0.20%  [.] __ecp_nistz256_add_tox                      -      -            
     0.20%     0.20%  [.] ecp_nistz256_point_add_affinex              -      -            
     0.19%     0.19%  [.] __ecp_nistz256_subx                         -      -            
     0.19%     0.05%  [.] bn_expand2                                  -      -            
     0.18%     0.18%  [.] _int_free                                   -      -            
     0.18%     0.00%  [.] ossl_encode_der_dsa_sig                     -      -            
     0.17%     0.00%  [.] RAND_bytes_ex                               -      -            
     0.16%     0.16%  [.] BN_CTX_get                                  -      -            
     0.15%     0.00%  [.] i2d_ECDSA_SIG                               -      -            
     0.15%     0.00%  [.] BN_mod_mul                                  -      -            
     0.15%     0.03%  [.] ctr_update                                  -      -            
     0.14%     0.14%  [.] bn_mul_words                                -      -            
     0.14%     0.14%  [.] malloc                                      -      -            
     0.14%     0.01%  [.] ossl_encode_der_integer                     -      -            
     0.13%     0.13%  [.] ecp_nistz256_neg                            -      -            
     0.13%     0.02%  [.] bn_mul_fixed_top                            -      -            
     0.13%     0.01%  [.] BN_mul                                      -      -            
     0.12%     0.00%  [.] ossl_ffc_params_FIPS186_4_gen_verify        -      -            
     0.12%     0.12%  [.] ecp_nistz256_avx2_gather_w5                 -      -            
     0.12%     0.00%  [.] ossl_ffc_params_simple_validate             -      -            
     0.12%     0.12%  [.] bn_add_words                                -      -            
     0.12%     0.00%  [.] ossl_ffc_params_FIPS186_4_validate          -      -            
