# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 152K of event 'cycles'
# Event count (approx.): 389391156896
#
# Children      Self  Symbol                                         IPC   [IPC Coverage]
# ........  ........  .............................................  ....................
#
     1.55%     0.00%  [.] bn_from_mont_fixed_top                     -      -            
     1.55%     0.16%  [.] bn_from_montgomery_word                    -      -            
     1.54%     1.00%  [.] ecp_nistz256_sqr_mont                      -      -            
     1.43%     0.00%  [.] BN_from_montgomery                         -      -            
     1.27%     1.27%  [.] bn_mul_add_words                           -      -            
     1.12%     0.06%  [.] int_bn_mod_inverse                         -      -            
     1.04%     0.03%  [.] BN_div                                     -      -            
     0.99%     0.25%  [.] bn_div_fixed_top                           -      -            
     0.97%     0.00%  [.] BN_mod_inverse                             -      -            
     0.78%     0.76%  [.] bn2binpad                                  -      -            
     0.59%     0.01%  [.] EVP_RAND_generate                          -      -            
     0.59%     0.59%  [.] __ecp_nistz256_sub_from                    -      -            
     0.58%     0.01%  [.] evp_rand_generate_locked                   -      -            
     0.58%     0.58%  [.] __ecp_nistz256_add                         -      -            
     0.55%     0.55%  [.] BN_mod_word                                -      -            
     0.54%     0.02%  [.] ossl_prov_drbg_generate                    -      -            
     0.50%     0.48%  [.] bin2bn                                     -      -            
     0.50%     0.00%  [.] ossl_rsa_sp800_56b_pairwise_test           -      -            
     0.50%     0.50%  [.] ecp_nistz256_gather_w7                     -      -            
     0.44%     0.00%  [.] ossl_bn_gen_dsa_nonce_fixed_top            -      -            
     0.38%     0.00%  [.] BN_MONT_CTX_set                            -      -            
     0.33%     0.00%  [.] bnrand_range.constprop.0                   -      -            
     0.32%     0.00%  [.] BN_nnmod                                   -      -            
     0.32%     0.06%  [.] CRYPTO_malloc                              -      -            
     0.30%     0.30%  [.] ecp_nistz256_ord_mul_mont                  -      -            
     0.30%     0.04%  [.] bn_expand2                                 -      -            
     0.30%     0.12%  [.] cfree@GLIBC_2.17                           -      -            
     0.30%     0.02%  [.] drbg_ctr_generate                          -      -            
     0.30%     0.02%  [.] CRYPTO_zalloc                              -      -            
     0.27%     0.00%  [.] BN_BLINDING_convert_ex                     -      -            
     0.27%     0.00%  [.] BN_BLINDING_update                         -      -            
     0.27%     0.27%  [.] bn_mul_mont                                -      -            
     0.26%     0.02%  [.] ossl_rsa_padding_add_PKCS1_type_2_ex       -      -            
     0.26%     0.21%  [.] malloc                                     -      -            
     0.25%     0.02%  [.] BN_CTX_free                                -      -            
     0.25%     0.25%  [.] __ecp_nistz256_sub_morf                    -      -            
     0.23%     0.00%  [.] BN_BLINDING_create_param                   -      -            
     0.23%     0.00%  [.] ossl_dsa_generate_ffc_parameters           -      -            
     0.23%     0.00%  [.] generate_p                                 -      -            
     0.23%     0.00%  [.] ossl_bn_check_prime                        -      -            
     0.22%     0.02%  [.] BN_clear_free                              -      -            
     0.22%     0.20%  [.] bn_div_words                               -      -            
     0.21%     0.00%  [.] ossl_encode_der_dsa_sig                    -      -            
     0.20%     0.20%  [.] _int_free                                  -      -            
     0.19%     0.00%  [.] BN_mod_mul                                 -      -            
     0.19%     0.00%  [.] i2d_ECDSA_SIG                              -      -            
     0.18%     0.18%  [.] bn_sub_words                               -      -            
     0.18%     0.00%  [.] BN_are_coprime                             -      -            
     0.17%     0.13%  [.] BN_CTX_get                                 -      -            
     0.17%     0.02%  [.] ctr_update                                 -      -            
     0.16%     0.03%  [.] __getpid                                   -      -            
     0.16%     0.16%  [.] OPENSSL_cleanse                            -      -            
     0.16%     0.00%  [.] ossl_encode_der_integer                    -      -            
     0.13%     0.13%  [.] bn_add_words                               -      -            
     0.13%     0.06%  [.] BN_uadd                                    -      -            
     0.13%     0.00%  [k] el0t_64_sync                               -      -            
     0.13%     0.00%  [k] el0t_64_sync_handler                       -      -            
     0.13%     0.11%  [k] el0_svc                                    -      -            
     0.12%     0.01%  [.] CRYPTO_clear_free                          -      -            
     0.12%     0.02%  [.] ossl_cipher_generic_einit                  -      -            
     0.11%     0.11%  [.] ecp_nistz256_gather_w5                     -      -            
     0.11%     0.08%  [.] BN_num_bits                                -      -            
     0.10%     0.01%  [.] BN_mul                                     -      -            
     0.10%     0.10%  [.] bn_correct_top                             -      -            
     0.10%     0.01%  [.] EVP_EncryptUpdate                          -      -            
     0.09%     0.02%  [.] bn_mul_fixed_top                           -      -            
     0.09%     0.01%  [.] ossl_cipher_hw_aes_initkey                 -      -            
     0.08%     0.05%  [.] ecp_nistz256_mul_mont                      -      -            
     0.08%     0.01%  [.] BN_copy                                    -      -            
     0.08%     0.08%  [.] bn_wexpand                                 -      -            
     0.08%     0.01%  [.] ossl_cipher_set_aes_initkey                -      -            
     0.07%     0.03%  [.] bn_lshift_fixed_top                        -      -            
     0.07%     0.06%  [.] BN_rshift1                                 -      -            
     0.07%     0.07%  [.] BN_is_bit_set                              -      -            
     0.07%     0.05%  [.] _int_malloc                                -      -            
     0.07%     0.01%  [.] ossl_cipher_generic_stream_update          -      -            
     0.07%     0.07%  [.] aes_v8_set_encrypt_key                     -      -            
     0.07%     0.07%  [.] bn_mul_words                               -      -            
     0.07%     0.07%  [.] sha512_block_armv8                         -      -            
     0.06%     0.00%  [.] ossl_cipher_hw_generic_ctr                 -      -            
     0.06%     0.01%  [.] CRYPTO_ctr128_encrypt_ctr32                -      -            
     0.06%     0.06%  [.] __ecp_nistz256_div_by_2                    -      -            
     0.06%     0.00%  [.] EVP_DigestFinal_ex                         -      -            
     0.06%     0.01%  [.] BN_add                                     -      -            
     0.06%     0.05%  [.] bn_rshift_fixed_top                        -      -            
     0.05%     0.00%  [.] RAND_priv_bytes_ex                         -      -            
     0.05%     0.05%  [.] BN_num_bits_word                           -      -            
     0.05%     0.00%  [.] cipher_hw_aes_arm_initkey                  -      -            
     0.05%     0.00%  [.] BN_rshift                                  -      -            
     0.05%     0.05%  [.] aes_v8_ctr32_encrypt_blocks_unroll12_eor3  -      -            
     0.05%     0.04%  [.] BN_CTX_start                               -      -            
     0.05%     0.00%  [.] bn_set_words                               -      -            
     0.05%     0.03%  [.] BN_usub                                    -      -            
     0.04%     0.04%  [.] ossl_sa_get                                -      -            
     0.04%     0.00%  [.] BN_new                                     -      -            
     0.04%     0.04%  [.] BN_CTX_end                                 -      -            
     0.04%     0.03%  [.] drbg_ctr_get_ctx_params                    -      -            
     0.04%     0.01%  [.] SHA512_Update_thunk                        -      -            
     0.04%     0.04%  [.] RSA_padding_check_PKCS1_type_1             -      -            
     0.04%     0.01%  [.] SHA512_Final                               -      -            
     0.04%     0.00%  [.] sha512_internal_final                      -      -            
     0.04%     0.01%  [.] WPACKET_close                              -      -            
     0.04%     0.00%  [.] ossl_rsa_sp800_56b_derive_params_from_pq   -      -            
     0.04%     0.00%  [.] i2d_DSA_SIG                                -      -            
     0.04%     0.00%  [.] ECDSA_size                                 -      -            
     0.04%     0.01%  [.] WPACKET_allocate_bytes                     -      -            
     0.04%     0.00%  [.] WPACKET_put_bytes__                        -      -            
     0.04%     0.01%  [.] bn_mul_normal                              -      -            
     0.04%     0.03%  [.] BN_ucmp                                    -      -            
     0.04%     0.01%  [.] ecp_nistz256_neg                           -      -            
     0.04%     0.00%  [.] WPACKET_start_sub_packet_at_offset_len__   -      -            
     0.03%     0.03%  [.] __GI___memcpy_sve                          -      -            
     0.03%     0.00%  [.] evp_generic_fetch                          -      -            
     0.03%     0.01%  [.] __time                                     -      -            
     0.03%     0.00%  [.] inner_evp_generic_fetch.constprop.0        -      -            
     0.03%     0.01%  [.] get_parent_reseed_count                    -      -            
     0.03%     0.00%  [.] CRYPTO_aligned_alloc                       -      -            
     0.03%     0.00%  [.] __posix_memalign                           -      -            
     0.03%     0.00%  [.] BN_gcd                                     -      -            
     0.03%     0.00%  [.] ossl_rsa_get_lcm                           -      -            
     0.03%     0.02%  [.] WPACKET_reserve_bytes                      -      -            
     0.03%     0.00%  [.] _mid_memalign.constprop.0                  -      -            
     0.03%     0.02%  [.] evp_cipher_init_internal                   -      -            
     0.03%     0.01%  [.] CRYPTO_THREAD_get_local_ex                 -      -            
     0.03%     0.00%  [.] ossl_encode_der_length                     -      -            
     0.03%     0.00%  [.] _int_memalign                              -      -            
     0.03%     0.03%  [.] __GI___memset_generic                      -      -            
     0.02%     0.00%  [.] BN_BLINDING_invert_ex                      -      -            
     0.02%     0.00%  [.] RAND_bytes_ex                              -      -            
     0.02%     0.02%  [.] malloc_consolidate                         -      -            
     0.02%     0.01%  [.] ossl_cipher_generic_block_update           -      -            
     0.02%     0.00%  [k] el0_svc_common.constprop.0                 -      -            
     0.02%     0.00%  [k] do_el0_svc                                 -      -            
     0.02%     0.00%  [.] ossl_rsa_padding_check_PKCS1_type_2        -      -            
     0.02%     0.00%  [.] BN_set_bit                                 -      -            
     0.02%     0.00%  [.] clock_gettime@@GLIBC_2.17                  -      -            
     0.02%     0.00%  [k] invoke_syscall                             -      -            
     0.02%     0.00%  [.] ossl_err_get_state_int                     -      -            
     0.02%     0.02%  [.] BN_is_zero                                 -      -            
     0.02%     0.00%  [.] BN_priv_rand_ex                            -      -            
     0.02%     0.00%  [.] ossl_decode_der_dsa_sig                    -      -            
     0.02%     0.00%  [.] BN_MONT_CTX_set_locked                     -      -            
     0.02%     0.00%  [.] WPACKET_finish                             -      -            
     0.02%     0.00%  [.] ossl_cipher_hw_generic_ecb                 -      -            
     0.02%     0.00%  [.] __kernel_clock_gettime                     -      -            
     0.02%     0.00%  [.] EC_POINT_free                              -      -            
     0.02%     0.00%  [.] ossl_decode_der_integer                    -      -            
     0.02%     0.02%  [.] aes_v8_ecb_encrypt                         -      -            
     0.02%     0.02%  [.] bn_init                                    -      -            
     0.02%     0.02%  [.] BN_is_odd                                  -      -            
     0.02%     0.02%  [.] CRYPTO_calloc                              -      -            
     0.02%     0.02%  [k] __task_pid_nr_ns                           -      -            
     0.02%     0.00%  [.] ossl_namemap_name2num_n                    -      -            
     0.02%     0.00%  [.] ECDSA_SIG_free                             -      -            
     0.02%     0.00%  [.] d2i_ECDSA_SIG                              -      -            
     0.01%     0.01%  [.] CRYPTO_free                                -      -            
     0.01%     0.01%  [.] BN_consttime_swap                          -      -            
     0.01%     0.01%  [.] ossl_ht_get                                -      -            
     0.01%     0.01%  [.] pthread_getspecific@@GLIBC_2.34            -      -            
     0.01%     0.00%  [.] evp_keymgmt_util_assign_pkey               -      -            
     0.01%     0.01%  [.] BN_get_flags                               -      -            
     0.01%     0.00%  [.] BN_CTX_new_ex                              -      -            
     0.01%     0.00%  [.] BN_free                                    -      -            
     0.01%     0.00%  [.] HMAC_Final                                 -      -            
     0.01%     0.00%  [.] EVP_DigestInit_ex                          -      -            
     0.01%     0.00%  [.] EC_POINT_clear_free                        -      -            
     0.01%     0.01%  [.] ecp_nistz256_scatter_w5                    -      -            
     0.01%     0.00%  [.] sha256_internal_final                      -      -            
     0.01%     0.01%  [.] SHA256_Final                               -      -            
     0.01%     0.00%  [.] EC_POINT_new                               -      -            
     0.01%     0.00%  [.] ossl_ec_GFp_simple_point_clear_finish      -      -            
     0.01%     0.01%  [.] ossl_lib_ctx_get_data                      -      -            
     0.01%     0.00%  [.] ossl_ffc_generate_private_key              -      -            
     0.01%     0.00%  [.] CRYPTO_THREAD_read_lock                    -      -            
     0.01%     0.00%  [.] bn_sqr_fixed_top                           -      -            
     0.01%     0.00%  [.] BN_sqr                                     -      -            
     0.01%     0.01%  [.] ecp_nistz256_from_mont                     -      -            
     0.01%     0.00%  [.] ossl_cipher_generic_initiv                 -      -            
     0.01%     0.00%  [.] ossl_ec_GFp_simple_point_finish            -      -            
     0.01%     0.00%  [.] EVP_PKEY_set_type_by_keymgmt               -      -            
     0.01%     0.01%  [.] pthread_rwlock_rdlock@@GLIBC_2.34          -      -            
     0.01%     0.00%  [.] bn_sqr_recursive.localalias                -      -            
     0.01%     0.00%  [.] WPACKET_init_null                          -      -            
     0.01%     0.00%  [.] CRYPTO_secure_clear_free                   -      -            
     0.01%     0.00%  [.] bn_copy_words                              -      -            
     0.01%     0.01%  [.] strcmp                                     -      -            
     0.01%     0.00%  [.] ossl_method_store_cache_get                -      -            
     0.01%     0.00%  [.] ossl_namemap_doall_names                   -      -            
     0.01%     0.00%  [.] CRYPTO_THREAD_run_once                     -      -            
     0.01%     0.00%  [.] ERR_clear_last_mark                        -      -            
     0.01%     0.00%  [.] ossl_drbg_get_ctx_params_no_lock           -      -            
     0.01%     0.00%  [.] ossl_ec_GFp_simple_point_init              -      -            
     0.01%     0.00%  [.] EVP_MD_CTX_reset                           -      -            
     0.01%     0.00%  [.] find_ameth                                 -      -            
     0.01%     0.01%  [.] 0x00000000000005dc                         -      -            
     0.01%     0.00%  [.] 0x0000ffff9b3c45dc                         -      -            
     0.01%     0.00%  [.] ossl_method_store_atomic_find_in_list      -      -            
     0.01%     0.00%  [.] evp_md_ctx_clear_digest                    -      -            
     0.01%     0.01%  [.] ecp_nistz256_is_affine_G                   -      -            
     0.01%     0.00%  [.] EVP_MD_CTX_free                            -      -            
     0.01%     0.01%  [.] memcpy@plt                                 -      -            
     0.01%     0.01%  [.] pthread_rwlock_unlock@@GLIBC_2.34          -      -            
     0.01%     0.00%  [.] CRYPTO_THREAD_unlock                       -      -            
     0.01%     0.00%  [.] ERR_set_mark                               -      -            
     0.01%     0.01%  [.] BN_with_flags                              -      -            
     0.01%     0.00%  [.] BN_sub                                     -      -            
     0.01%     0.01%  [.] free@plt                                   -      -            
     0.01%     0.00%  [.] DSA_size                                   -      -            
     0.01%     0.01%  [.] bn_mod_add_fixed_top                       -      -            
     0.01%     0.01%  [.] RAND_get_rand_method                       -      -            
     0.01%     0.00%  [.] d2i_DSA_SIG                                -      -            
     0.01%     0.00%  [.] HMAC_Init_ex.part.0                        -      -            
     0.01%     0.00%  [k] __el0_irq_handler_common                   -      -            
     0.01%     0.00%  [k] el0_interrupt                              -      -            
     0.01%     0.00%  [k] el0t_64_irq                                -      -            
     0.01%     0.00%  [k] el0t_64_irq_handler                        -      -            
     0.01%     0.01%  [.] memset@plt                                 -      -            
     0.01%     0.00%  [k] handle_softirqs                            -      -            
     0.01%     0.00%  [k] ____do_softirq                             -      -            
     0.01%     0.00%  [k] __do_softirq                               -      -            
     0.01%     0.00%  [k] __irq_exit_rcu                             -      -            
     0.01%     0.00%  [k] call_on_irq_stack                          -      -            
     0.01%     0.00%  [k] do_softirq_own_stack                       -      -            
     0.01%     0.00%  [k] irq_exit_rcu                               -      -            
     0.01%     0.00%  [.] bn_mul_recursive.localalias                -      -            
     0.01%     0.01%  [.] bn_sqr_comba8                              -      -            
     0.01%     0.00%  [.] DSA_SIG_free                               -      -            
     0.01%     0.01%  [.] malloc@plt                                 -      -            
     0.01%     0.01%  [.] WPACKET_get_curr                           -      -            
     0.00%     0.00%  [.] ecp_nistz256_get_affine                    -      -            
     0.00%     0.00%  [.] rsa_gencb                                  -      -            
