# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 152K of event 'cycles'
# Event count (approx.): 389675809010
#
# Children      Self  Symbol                                         IPC   [IPC Coverage]
# ........  ........  .............................................  ....................
#
     1.26%     0.03%  [.] BN_div                                     -      -            
     1.24%     1.24%  [.] bn_mul_add_words                           -      -            
     1.21%     0.27%  [.] bn_div_fixed_top                           -      -            
     1.16%     0.00%  [.] BN_mod_inverse                             -      -            
     0.76%     0.74%  [.] bn2binpad                                  -      -            
     0.59%     0.59%  [.] __ecp_nistz256_add                         -      -            
     0.59%     0.01%  [.] EVP_RAND_generate                          -      -            
     0.57%     0.01%  [.] evp_rand_generate_locked                   -      -            
     0.57%     0.57%  [.] BN_mod_word                                -      -            
     0.55%     0.55%  [.] __ecp_nistz256_sub_from                    -      -            
     0.54%     0.02%  [.] ossl_prov_drbg_generate                    -      -            
     0.49%     0.46%  [.] bin2bn                                     -      -            
     0.49%     0.00%  [.] ossl_rsa_sp800_56b_pairwise_test           -      -            
     0.46%     0.46%  [.] ecp_nistz256_gather_w7                     -      -            
     0.42%     0.00%  [.] BN_MONT_CTX_set                            -      -            
     0.41%     0.00%  [.] ossl_bn_gen_dsa_nonce_fixed_top            -      -            
     0.40%     0.40%  [.] OPENSSL_cleanse                            -      -            
     0.37%     0.08%  [.] BN_CTX_end                                 -      -            
     0.35%     0.00%  [.] ossl_dsa_generate_ffc_parameters           -      -            
     0.35%     0.00%  [.] generate_p                                 -      -            
     0.35%     0.00%  [.] ossl_bn_check_prime                        -      -            
     0.35%     0.01%  [.] bnrand_range.constprop.0                   -      -            
     0.33%     0.00%  [.] BN_nnmod                                   -      -            
     0.32%     0.00%  [.] BN_BLINDING_convert_ex                     -      -            
     0.32%     0.00%  [.] BN_BLINDING_update                         -      -            
     0.31%     0.02%  [.] drbg_ctr_generate                          -      -            
     0.30%     0.30%  [.] ecp_nistz256_ord_mul_mont                  -      -            
     0.30%     0.12%  [.] cfree@GLIBC_2.17                           -      -            
     0.29%     0.02%  [.] BN_CTX_free                                -      -            
     0.29%     0.05%  [.] CRYPTO_malloc                              -      -            
     0.29%     0.05%  [.] BN_clear                                   -      -            
     0.29%     0.00%  [.] BN_BLINDING_create_param                   -      -            
     0.28%     0.28%  [.] bn_mul_mont                                -      -            
     0.27%     0.04%  [.] bn_expand2                                 -      -            
     0.27%     0.03%  [.] BN_clear_free                              -      -            
     0.27%     0.01%  [.] CRYPTO_zalloc                              -      -            
     0.24%     0.00%  [.] BN_are_coprime                             -      -            
     0.24%     0.02%  [.] ossl_rsa_padding_add_PKCS1_type_2_ex       -      -            
     0.23%     0.19%  [.] malloc                                     -      -            
     0.23%     0.21%  [.] bn_div_words                               -      -            
     0.23%     0.23%  [.] __ecp_nistz256_sub_morf                    -      -            
     0.21%     0.00%  [.] BN_mod_mul                                 -      -            
     0.19%     0.19%  [.] _int_free                                  -      -            
     0.19%     0.00%  [.] ossl_encode_der_dsa_sig                    -      -            
     0.18%     0.03%  [.] ctr_update                                 -      -            
     0.17%     0.00%  [.] i2d_ECDSA_SIG                              -      -            
     0.16%     0.16%  [.] bn_sub_words                               -      -            
     0.16%     0.04%  [.] __getpid                                   -      -            
     0.16%     0.13%  [.] BN_CTX_get                                 -      -            
     0.15%     0.01%  [.] ossl_encode_der_integer                    -      -            
     0.14%     0.08%  [.] BN_uadd                                    -      -            
     0.14%     0.02%  [.] CRYPTO_clear_free                          -      -            
